Red,Green,Blue
0,7772,7112
8470,7131,8824
8412,8674,8975
7438,7520,7969
6973,12024,5277
19443,4004,13227
18919,19812,14583
21301,20610,15574
21083,20940,15454
23700,21520,4521
23621,10517,16730
24664,21498,16919
21885,20380,15191
22119,21754,16231
19215,18460,7337
23191,10997,16339
22672,20992,16565
24479,21936,17043
26610,22429,17439
25324,23058,8241
24280,12663,18315
24647,21754,17324
25758,21890,17281
23890,23418,17795
24596,21620,6838
24512,11808,16770
25413,23224,17043
26493,18236,17993
6198,8459,6546
8441,8263,8579
8713,8128,8526
8575,8463,9177
7792,7277,6168
9078,8710,8619
8065,8415,8393
8058,8035,8272
7457,7973,7274
7161,7540,8285
19732,22227,15240
26610,19765,15893
23890,22957,17168
12568,22274,16597
25521,8858,17840
24362,22052,16206
25235,22513,17317
21262,22465,17615
12246,22441,17091
24329,8960,17924
24563,18699,17274
24647,24286,17140
26493,22919,17360
12478,21013,17483
25906,10126,14009
22049,18944,14894
23497,19275,14103
18590,18347,13202
16859,17505,13617
18410,19257,8101
24529,12690,17578
22657,24542,18291
27746,27042,19257
30263,21971,17697
9895,25327,16858
25147,7823,15609
20369,19982,16384
19553,10905,13521
7539,6744,6769
8541,8232,8073
8227,8375,8282
8374,8328,8371
7470,8070,8683
8420,7265,8253
8225,8111,8028
9281,13082,9802
24955,23723,18583
25887,25621,8177
23637,18267,14629
8027,8315,8754
7593,7783,6690
8285,8119,8353
7214,8012,8214
8165,8386,6667
7939,7328,7588
15675,16974,19266
25431,29208,25312
26320,28282,26116
10509,29495,17542
27371,29330,25010
26225,26395,23484
20333,29208,25373
24921,29789,24119
20322,29310,24456
24579,26579,24244
22657,28571,24657
21224,26783,24995
21096,28074,25358
21510,29106,24877
22951,27557,25811
21032,30174,21620
27810,25373,23858
27106,28513,9414
20919,24244,28111
21736,28036,25606
23559,24385,27253
20995,27235,28552
22008,28263,26852
21750,26596,26903
25721,30931,29641
21444,28359,30504
22542,31944,23185
21603,33078,30750
21523,25420,31230
10795,11119,8813
9973,7693,11453
12393,11500,12178
11653,11615,12834
12184,12993,13336
10423,10250,8619
18661,21269,22381
21262,22203,24132
14611,12826,13164
8656,11618,8665
11865,7505,12028
11929,11915,11317
10818,10982,10446
12070,11110,12318
8361,9941,7612
11058,11339,10959
10379,11081,10824
10357,10702,11122
9466,10522,6743
11495,11034,10824
11177,10543,10055
11967,11775,11131
11421,11238,9076
12568,8471,11637
12032,11973,11143
12217,11798,12182
13158,11175,11369
10885,11761,8552
12926,10433,11983
10580,11020,11052
11631,10779,11871
9618,11400,6123
9952,9659,11293
11070,10942,11831
12146,11742,11290
10278,11434,6156
12070,10007,11265
11774,11329,11005
10869,11081,10493
9037,11196,6670
11943,10405,11541
12383,11472,11397
10231,8723,7867
12117,11087,11545
11490,11683,11507
11451,11040,10951
8735,11861,8531
12324,9244,11647
11525,11394,11250
11920,11400,11199
8688,11788,4859
11311,8739,11625
11547,11851,11290
9709,11472,5263
11847,11161,10882
12315,10727,11087
11486,10854,11281
9110,11046,5656
11675,11223,11075
12805,11066,10530
8280,11329,7370
11720,11503,10295
11720,10762,11532
11260,11898,10664
9020,10908,5156
11769,8356,11137
11774,11063,10866
11551,10796,10669
11883,11287,10916
10094,11545,6245
10985,10852,11564
12711,10727,11196
11227,11043,10810
11260,11935,11557
8919,11441,6139
13163,8137,12192
12553,11522,11525
12324,11335,11000
9494,11608,9372
11693,7472,10818
10442,12164,11657
12146,11259,10971
12319,10939,11391
9110,11828,6266
11285,9328,11075
11711,11332,10925
11769,11008,10959
9589,11335,6315
12438,7915,11431
11277,11023,11187
12023,11434,11898
9093,10621,6768
10565,9901,11709
11925,11621,11686
10442,9139,6247
